Date,Close/Last,Volume,Open,High,Low
03/16/2016,1.41,N/A,1.41,1.41,1.41
03/15/2016,1.5,N/A,1.5,1.5,1.5
03/14/2016,1.49,N/A,1.49,1.49,1.49
03/11/2016,1.49,N/A,1.49,1.49,1.49
03/10/2016,1.45,N/A,1.45,1.45,1.45
03/09/2016,1.39,N/A,1.39,1.39,1.39
03/08/2016,1.34,N/A,1.34,1.34,1.34
03/07/2016,1.42,N/A,1.42,1.42,1.42
03/04/2016,1.38,N/A,1.38,1.38,1.38
03/03/2016,1.33,N/A,1.33,1.33,1.33
03/02/2016,1.34,N/A,1.34,1.34,1.34
03/01/2016,1.31,N/A,1.31,1.31,1.31
02/29/2016,1.16,N/A,1.16,1.16,1.16
02/26/2016,1.16,N/A,1.16,1.16,1.16
02/25/2016,1.16,N/A,1.16,1.16,1.16
02/24/2016,1.21,N/A,1.21,1.21,1.21
02/23/2016,1.23,N/A,1.23,1.23,1.23
02/22/2016,1.25,N/A,1.25,1.25,1.25
02/19/2016,1.24,N/A,1.24,1.24,1.24
02/18/2016,1.21,N/A,1.21,1.21,1.21
02/17/2016,1.26,N/A,1.26,1.26,1.26
02/16/2016,1.23,N/A,1.23,1.23,1.23
02/15/2016,1.2,N/A,1.2,1.2,1.2
02/12/2016,1.2,N/A,1.2,1.2,1.2
02/11/2016,1.11,N/A,1.11,1.11,1.11
02/10/2016,1.15,N/A,1.15,1.15,1.15
02/09/2016,1.15,N/A,1.15,1.15,1.15
02/08/2016,1.16,N/A,1.16,1.16,1.16
02/05/2016,1.25,N/A,1.25,1.25,1.25
02/04/2016,1.25,N/A,1.25,1.25,1.25
02/03/2016,1.27,N/A,1.27,1.27,1.27
02/02/2016,1.28,N/A,1.28,1.28,1.28
02/01/2016,1.38,N/A,1.38,1.38,1.38
01/29/2016,1.33,N/A,1.33,1.33,1.33
01/28/2016,1.4,N/A,1.4,1.4,1.4
01/27/2016,1.43,N/A,1.43,1.43,1.43
01/26/2016,1.45,N/A,1.45,1.45,1.45
01/25/2016,1.47,N/A,1.47,1.47,1.47
01/22/2016,1.49,N/A,1.49,1.49,1.49
01/21/2016,1.44,N/A,1.44,1.44,1.44
01/20/2016,1.44,N/A,1.44,1.44,1.44
01/19/2016,1.49,N/A,1.49,1.49,1.49
01/18/2016,1.46,N/A,1.46,1.46,1.46
01/15/2016,1.46,N/A,1.46,1.46,1.46
01/14/2016,1.52,N/A,1.52,1.52,1.52
01/13/2016,1.51,N/A,1.51,1.51,1.51
01/12/2016,1.55,N/A,1.55,1.55,1.55
01/11/2016,1.58,N/A,1.58,1.58,1.58
01/08/2016,1.57,N/A,1.57,1.57,1.57
01/07/2016,1.61,N/A,1.61,1.61,1.61
01/06/2016,1.65,N/A,1.65,1.65,1.65
01/05/2016,1.73,N/A,1.73,1.73,1.73
01/04/2016,1.73,N/A,1.73,1.73,1.73
01/01/2016,1.76,N/A,1.76,1.76,1.76
12/31/2015,1.76,N/A,1.76,1.76,1.76
12/30/2015,1.8,N/A,1.8,1.8,1.8
12/29/2015,1.81,N/A,1.81,1.81,1.81
12/28/2015,1.73,N/A,1.73,1.73,1.73
12/25/2015,1.73,N/A,1.73,1.73,1.73
12/24/2015,1.73,N/A,1.73,1.73,1.73
12/23/2015,1.74,N/A,1.74,1.74,1.74
12/22/2015,1.71,N/A,1.71,1.71,1.71
12/21/2015,1.67,N/A,1.67,1.67,1.67
12/18/2015,1.67,N/A,1.67,1.67,1.67
12/17/2015,1.73,N/A,1.73,1.73,1.73
12/16/2015,1.75,N/A,1.75,1.75,1.75
12/15/2015,1.71,N/A,1.71,1.71,1.71
12/14/2015,1.66,N/A,1.66,1.66,1.66
12/11/2015,1.56,N/A,1.56,1.56,1.56
12/10/2015,1.68,N/A,1.68,1.68,1.68
12/09/2015,1.64,N/A,1.64,1.64,1.64
12/08/2015,1.68,N/A,1.68,1.68,1.68
12/07/2015,1.67,N/A,1.67,1.67,1.67
12/04/2015,1.71,N/A,1.71,1.71,1.71
12/03/2015,1.74,N/A,1.74,1.74,1.74
12/02/2015,1.63,N/A,1.63,1.63,1.63
12/01/2015,1.59,N/A,1.59,1.59,1.59
11/30/2015,1.7,N/A,1.7,1.7,1.7
11/27/2015,1.7,N/A,1.7,1.7,1.7
11/26/2015,1.7,N/A,1.7,1.7,1.7
11/25/2015,1.7,N/A,1.7,1.7,1.7
11/24/2015,1.7,N/A,1.7,1.7,1.7
11/23/2015,1.7,N/A,1.7,1.7,1.7
11/20/2015,1.7,N/A,1.7,1.7,1.7
11/19/2015,1.68,N/A,1.68,1.68,1.68
11/18/2015,1.69,N/A,1.69,1.69,1.69
11/17/2015,1.66,N/A,1.66,1.66,1.66
11/16/2015,1.66,N/A,1.66,1.66,1.66
11/13/2015,1.67,N/A,1.67,1.67,1.67
11/12/2015,1.73,N/A,1.73,1.73,1.73
11/11/2015,1.72,N/A,1.72,1.72,1.72
11/10/2015,1.72,N/A,1.72,1.72,1.72
11/09/2015,1.75,N/A,1.75,1.75,1.75
11/06/2015,1.73,N/A,1.73,1.73,1.73
11/05/2015,1.65,N/A,1.65,1.65,1.65
11/04/2015,1.64,N/A,1.64,1.64,1.64
